A.1	Q0	1376776	1	1.0	DPRL_Question_Matching
A.1	Q0	1377152	2	0.558813457654529	DPRL_Question_Matching
A.1	Q0	47936	3	0.5580371055217387	DPRL_Question_Matching
A.1	Q0	34629	4	0.531489022328046	DPRL_Question_Matching
A.1	Q0	2089601	5	0.529666363293373	DPRL_Question_Matching
A.1	Q0	926254	6	0.5010611671229296	DPRL_Question_Matching
A.1	Q0	64691	7	0.5003096519823812	DPRL_Question_Matching
A.1	Q0	2346965	8	0.5000938772124457	DPRL_Question_Matching
A.1	Q0	11323	9	0.49932267927265644	DPRL_Question_Matching
A.1	Q0	2969134	10	0.49919492305902113	DPRL_Question_Matching
A.1	Q0	2628169	11	0.4730693559307926	DPRL_Question_Matching
A.1	Q0	808397	12	0.4698336911922622	DPRL_Question_Matching
A.1	Q0	1904314	13	0.4439412657384527	DPRL_Question_Matching
A.1	Q0	1850701	14	0.4424869965035616	DPRL_Question_Matching
A.1	Q0	2415389	15	0.4420142180201784	DPRL_Question_Matching
A.1	Q0	2356167	16	0.44179915859179214	DPRL_Question_Matching
A.1	Q0	2173016	17	0.4404739922613199	DPRL_Question_Matching
A.1	Q0	2356165	18	0.41232317787915523	DPRL_Question_Matching
A.1	Q0	1414301	19	0.38636707684832383	DPRL_Question_Matching
A.1	Q0	1760652	20	0.3857110316313916	DPRL_Question_Matching
A.1	Q0	25789	55	0.29417663935000515	DPRL_Question_Matching
A.1	Q0	292227	64	0.2672116914691568	DPRL_Question_Matching
A.1	Q0	1259164	114	0.23822576151715263	DPRL_Question_Matching
A.1	Q0	1877322	116	0.23807698470815278	DPRL_Question_Matching
A.1	Q0	2448340	130	0.23674231850427632	DPRL_Question_Matching
A.1	Q0	1763197	135	0.23643905496554554	DPRL_Question_Matching
A.1	Q0	886998	163	0.2355475216267276	DPRL_Question_Matching
A.1	Q0	887001	164	0.2355475216267276	DPRL_Question_Matching
A.1	Q0	1877328	215	0.20773110696057612	DPRL_Question_Matching
A.1	Q0	2069307	216	0.20766851833451355	DPRL_Question_Matching
A.1	Q0	2399382	235	0.2069583635007005	DPRL_Question_Matching
A.1	Q0	812364	240	0.20692018048474853	DPRL_Question_Matching
A.1	Q0	2836791	249	0.20665678641223564	DPRL_Question_Matching
A.1	Q0	1808870	253	0.20661467606068581	DPRL_Question_Matching
A.1	Q0	887052	328	0.20604479823962601	DPRL_Question_Matching
A.1	Q0	1694754	359	0.20589133797024248	DPRL_Question_Matching
A.1	Q0	2418450	386	0.2058124564076333	DPRL_Question_Matching
A.1	Q0	837980	392	0.20579757835381193	DPRL_Question_Matching
A.1	Q0	2069933	411	0.17730541059638158	DPRL_Question_Matching
A.1	Q0	959593	424	0.17707083041714933	DPRL_Question_Matching
A.1	Q0	1109677	429	0.17705621570852031	DPRL_Question_Matching
A.1	Q0	2725893	431	0.17704926153221903	DPRL_Question_Matching
A.1	Q0	1153514	435	0.1770248419294574	DPRL_Question_Matching
A.1	Q0	2759074	436	0.17702195891060066	DPRL_Question_Matching
A.1	Q0	2764338	437	0.17702195891060066	DPRL_Question_Matching
A.1	Q0	1653354	441	0.17699043048120988	DPRL_Question_Matching
A.1	Q0	1979734	442	0.17698930951396305	DPRL_Question_Matching
A.1	Q0	1414307	450	0.17695531713828547	DPRL_Question_Matching
A.1	Q0	2448334	453	0.176940340478374	DPRL_Question_Matching
A.1	Q0	1988325	455	0.176929096421736	DPRL_Question_Matching
A.1	Q0	1988328	457	0.176929096421736	DPRL_Question_Matching
A.1	Q0	1602632	468	0.1768422991666942	DPRL_Question_Matching
A.1	Q0	959808	544	0.17663379855755498	DPRL_Question_Matching
A.1	Q0	1428445	548	0.17662982745656394	DPRL_Question_Matching
A.1	Q0	2646109	646	0.1764770378736764	DPRL_Question_Matching
A.1	Q0	2679903	668	0.17644414625868055	DPRL_Question_Matching
A.1	Q0	2068335	738	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	2241643	746	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	1441088	754	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	2725890	762	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	812369	770	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	175897	772	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	1538390	791	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	1805847	843	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	2274389	845	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	25788	918	0.14703935146542282	DPRL_Question_Matching
A.1	Q0	26066	919	0.14703935146542282	DPRL_Question_Matching
